customer_tweet_id,customer_message,gold_intent,gold_route,annotator_notes
2332104,[HANDLE] Still delayed.,,,
302693,Hey [HANDLE]! I called the #DiamondMedallionDesk and I get a “cannot complete your call” message. What’s up? 🤔,,,
1898286,[HANDLE] another flight that the agent makes me check my bag saying it won’t fit but plenty of other suitcases my size are carried on board!!,,,
1510965,[HANDLE] my first flight with you in status challenge is 4 hours delayed. likelihood of me sticking with y'all is getting slimmer by the minute...,,,
1674268,[HANDLE] Refund me for the extra day of airport parking I'm going to incur and the day of work I'll miss,,,
790266,[HANDLE] It’s okay :) if we miss our flight I hope y’all will help to reschedule a new one 😉😘,,,
829578,Thank you for the voucher [HANDLE],,,
338217,[HANDLE] It bothers me that you charge $29 for a minor to join you in the Delta Club. It is not like a minor should qualify for an American Express.,,,
924643,[HANDLE] charged me to get an assigned seat and check my bag. The airline reminds me UAL in the 90’s when they were hated.,,,
1340957,[HANDLE] my TSA pre check number is not on my boarding pass for my flight tomorrow? Any idea why? Thanks!,,,
608986,[HANDLE] yeah you just assumed again... you don't learn... I can read and tried the website and called and they lied and didn't apologize,,,
13243,[HANDLE] landed in PHL on flight 2097 this afternoon and just realized I left my Kindle in seat 3A. How do I find/claim it?,,,
714241,extremely disappointed with seat request and flight boarding/takeoff on [HANDLE] flight 3809,,,
233906,Impressed with [HANDLE]. I had a voucher in my maiden name (travel is not easy w/ name change) &amp; they gave me choice of gift card instead.,,,
1288393,[HANDLE] boarding process broken. Scanners don't work at DTW. Gate agent staring helplessly at screen. Please get this fixed.,,,
1630586,[HANDLE] where can I provide feedback on a flight attendant I had today? Guy was exceptional and I want him to be recognized properly for his work and overall attitude.,,,
986833,[HANDLE] so on one of my flights it was over booked and my seat was given to someone else.,,,
1344813,[HANDLE] I rebooked! Confirmation page states $0 USD charged but was re-sent an e-mail by Delta stating a charge of approx. $200pp. Help!?,,,
845994,"[HANDLE] was promised a refund and never got it. Delta agent was rude, repetitive and you now lost a loyal customer",,,
1477666,Just called [HANDLE] to ask how 12status priority boarding works and the rep and her supervisor said they were unaware of what 12status is,,,
2244187,[HANDLE] I won’t be able to make my flight next week. How do I cancel &amp; get a credit/voucher?,,,
1652135,[HANDLE] 2 hr hold time after flight from Newark delayed 3 1/2 hours? First time flying Delta. Will miss my connecting flight &amp; bday celeb.,,,
2070875,[HANDLE] I need to change my flight to Delta Comfort but there is no option under my flight status. Help!,,,
2143799,Hello [HANDLE] - can you DM me for #5684 (OAK-LAX)? I'm still on BART &amp; few stops away (flight is boarding) - thank you,,,
1309411,[HANDLE] How much does it cost to do a same day change on an award ticket?,,,
1652129,"[HANDLE] a delay is one thing, screwing up the entire itinerary from original booking all the way thru return flight is another thing entirely.",,,
2077089,[HANDLE] Customer service was absolutely unhelpful in rebooking and accomodating us...PS this was travel w/ infant and a pregnant mother,,,
993485,Hi there [HANDLE] ! Just learned Wi-Fi doesn't work on the plane. Headed to SFO from ATL. I paid for WiFi. Please refund me. 😊 Thanks!,,,
717713,"[HANDLE] all good, thx!",,,
376668,[HANDLE] I have a flight tomorrow evening and I just got my known traveler number. Can I please add it to my reservation somehow?,,,
1449429,"[HANDLE] you promised me a refund for my missed connection in ATL, and now I get an email saying you rescinded it? What gives? #BadService",,,
381503,[HANDLE] got this notice as I boarded. But no bag on the other side. What’s up? [URL],,,
628297,"If it wasn't for the free Chick-fil-a sandwiches, I would have been mad at [HANDLE] for the two and half hour delay. [URL]",,,
256116,"[HANDLE] Refund my money, get me my baggage, and let me change airlines so I can get home. #awfulcustomerservice",,,
1870629,Hey [HANDLE] how many likes for a free flight home for christmas?,,,
851421,Was looking 2remark on view of the sun ☀️ in my last tweet. Guess I couldn’t see the screen on my 📱 and tweeted prematurely Thanks [HANDLE] [URL],,,
2258223,[HANDLE] I’m flying home (JFK-BRU). Why does the app ask me about return dates when trying to check-in?,,,
1109586,"[HANDLE] I guess being a silver medallion doesn’t mean great customer support. After a delay &amp; a missed connection, your reps attitude... wow!",,,
904413,I could just smooch [HANDLE] on the mouth right now. My body and my baggage (checked and otherwise) got put on an earlier flight to LGA. #daymade,,,
1980649,"[HANDLE], its a 30 minute hold to change a reservation, so when you go online to do it, your site errors out. [URL]",,,
804114,"While I love my [HANDLE], super impressed with [HANDLE] app IRROPS rebooking and the beautiful SF Skyclub! #EXPlife #cheatingonAAtoday",,,
328832,[HANDLE] I got an email stating that I can change my flight due to me going to puertorico. when I try to change my flight it won't work online,,,
1302885,[HANDLE] [HANDLE] I've never experienced such slow boarding before. Overhd bins all full b4 half the plane boarded too. Not sure what hppned there.,,,
2337619,[HANDLE] just got hung up on by Silver line. Trying to see what is the last FLT that lands at IAH/HOU OCT-25-2017...,,,
1127400,"[HANDLE] [HANDLE] Yeah, I’ve never had a problem before and the staff have been lovely but not really across what a vegan diet is. Dairy makes me so sick too",,,
1694053,"Priority boarding and delta comfort seating, best way to end an amazing weekend. Thanks [HANDLE]",,,
259511,[HANDLE] do you offer special rates for bereavement or just flexibility?,,,
2201733,"[HANDLE] Yes, but dying laptop with no outlet to help charge will make any viewing short lived.",,,
1213959,[HANDLE] I left my wallet on a flight I took Thursday night and filled out a lost item form. How do I get an update?,,,
818958,[HANDLE] crazy that a diamond member can’t a requested mileage upgrade AMS to ATL with 6 open seats in Delta one,,,
1970566,"[HANDLE] It’s 1:52 and we just started boarding, so somebody is giving you bad information. I would just like an ETA so I can rearrange my ride.",,,
298043,[HANDLE] trying to change my flight today. App does not do it. [URL] won’t allow do it. On hold 24 mins and counting.,,,
1097478,[HANDLE] i submitted an out of pocket expense claim 6 days ago and have yet to hear anything - what is the average response time?,,,
1023862,[HANDLE] Anything you can do? I'm silver medallion and would love to share my upgrade status with them but don't know of any way to do that,,,
957495,[HANDLE] I'm trying to locate a digital receipt for a checked bag I purchased through the Delta app for a trip a couple of weeks ago but I'm not finding it anywhere. Can you help?,,,
2258254,[HANDLE] please don't let flight 2407 MSP-&gt;SLC leave w/out me. Delayed for de-icing in MKE but will be sprinting to my gate.,,,
1672670,[HANDLE] gate agent asked for volunteer for seat. She then cancelled seat instead of giving $500 credit. Suggested I️ call Amex. Let’s chat. Thanks.,,,
1546086,"[HANDLE] pathetic customer care.after holding for 90mins, no help offered to solve my problem except to pay $3800 to change my flight",,,
1420269,"[HANDLE] How do I get the actual prices of flights to show up? Price changes after I put in my credit card number ""due to demand"" every time.",,,
1571327,Here two hours early for the only delta flight. Thanks [HANDLE] [URL],,,
1996899,"[HANDLE] want to upgrade my wife to economy comfort + with the rest of us, but with the auto check in we didn’t get the chance. Any help?",,,
938960,Landed 40 minutes ago as our flights bags still aren't at baggage claim. Come on [HANDLE],,,
783693,Hey [HANDLE] my boarding pass isn't sending either to my phone or my email and I've tried multiple times. Got any other tips?,,,
1558220,"Flight delayed overnight, pilot now says “we need a piece of equipment to start the engine.” I’m assuming they need a big crank? [HANDLE]",,,
1011615,[HANDLE] In line for check in.... only one person trying to help. Every other airline has 5+ people. Hope I don’t miss my flight...🙄😡.,,,
1065057,"[HANDLE] If I am a skymiles member, do I have the advantage of boarding before other passengers who are not?",,,
266142,[HANDLE] your service is terrible and I honestly will never fly with your company again. #deltasucks #Useless #pathetic,,,
2348304,[HANDLE] I didn’t get credit for my last flight. Going in circles on website and wait time when I call is 2+ hrs. Please help.,,,
2459418,"[HANDLE] can u possibly make it anymore difficult to book travel with miles? It took two days! It is absolutely the height of deceit to look at ur site, determine the miles needed and try to book a flight only to have mileage change. Forcing u to pay to make up the difference🖕",,,
638010,[HANDLE] Hi. I’ve tried to check in online for my flight tomorrow to NY but it won’t let me. It will let the rest of my party can you help me as to why? Thanks,,,
261358,[HANDLE] how do I book my companion fair through the app? I’m a platinum Delta Amex person. 😊,,,
1092662,[HANDLE] I forgot to add my Frequent Flyer number on my reservation for this afternoon - what is the best way to get it added?,,,
1091639,More delays now on the runway with [HANDLE] it’s a joke at this point,,,
411934,[HANDLE] my flight from IND to JFK was cancelled today. Will I have to pay to check my bag again for my rescheduled flight tomorrow?,,,
1023223,[HANDLE] how do I find my kids' flier miles? They don't come up under my email.,,,
1068824,"[HANDLE] Case Number: 00274805, please read the notes on vouchers &amp; help. Spent 2+ hours on the phone &amp; told i need to contact customer care!",,,
2244026,[HANDLE] Thank you!,,,
2209672,"[HANDLE] flight delayed 3 hours to Detroit. Upon arrival, 3 agents at desk, 2 leave at 10pm with a dozen people in line. We waited on u. U should wait on us. Poor customer service.",,,
1597430,[HANDLE] do upgrades still clear 3 days out for gold medallions?,,,
1561018,[HANDLE]; just completed #dl2255 ATL to Tulsa. Left Bose headphones in 28 d&amp;e. Please help! I can pick up at baggage claim tomorrow,,,
807324,"[HANDLE] DL4308 today, gate check carryon small plane, bag clipped hand off GSO, unclipped receipt DTW. Who went through it post security? [URL]",,,
1890112,[HANDLE] Is there any way I can tell if my Skymiles and Known Traveler Number is tied to an existing reservation?,,,
1694063,[HANDLE] Is there a chance to see Delta Airlines in the near future at the Vienna Airport (VIE)? I really love to fly with Delta ❤️,,,
1019268,[HANDLE] missing my friends wedding and losing my hotel reservation... thanks.,,,
1013110,[HANDLE] Carmen yesterday at reservations was very helpful. Great customer service.,,,
2157817,"Hey [HANDLE], [HANDLE] role me to contact you about my Wi-Fi issue. I paid for in flight Wi-Fi and my plane wasn't equipped with it. Could I please have a refund or credit for my trip back to Austin on Saturday?",,,
219083,38 minute flight from Baltimore -&gt; NYC delayed over 2 hours aaaaaand no draaanks for me? “Oh no no no [HANDLE]” - consuela voice 😒,,,
2454793,[HANDLE] Hi- I am on a hunting trip and would like to bring back frozen meat in my checked bag. I was planning to pack it with frozen water bottles in a leak proof bag. Will this be a problem?,,,
839485,[HANDLE] I figured it out. Boarding now. Thanks anyway!,,,
313724,"They won't change my flight, but they did say they are sorry, so it's ok! [HANDLE] for the win!",,,
719972,"[HANDLE] thanks for the ""hospitality"" as a gold medallion member much less a human being I appreciate a gate attendant not printing my b-pass",,,
1200611,[HANDLE] What is the plan for my kids' party of four? Are passengers being placed on other flights?,,,
1400824,"[HANDLE] pretty surprised this is how you treat your gold and lower medallion members, all apologies and no solutions is not the way to my ❤️",,,
565449,[HANDLE] just got home from a flight to ATL and realized my daughter left her tablet on the plane. How do I get ahold of lost and found?,,,
1046652,[HANDLE] what is the process for changing a flight?,,,
1426394,[HANDLE] difficult communication on a late flight. No update until 8:17 could have stayed in the Sky Club [URL],,,
2434756,[HANDLE] reboots me on a flight that arrives after my connection has finished boarding. What a joke.,,,
1261438,[HANDLE] What is the resolution?,,,
1689639,[HANDLE] Yeh lots of apologies and zero compensation.,,,
1406462,[HANDLE] if I️ take an intl’ flights to jfk &amp; buy a separate ticket from jfk immediately on 1- will bags be pushed through 2-waive baggage fee,,,
1031141,[HANDLE] Don't Expect Luggage To Arrive,,,
1449426,[HANDLE] this return flight is smaller and I now have to check my bag that I didn't need to on my way from NY. You guys are nailing this.,,,
1246032,What happen with the flight that goes from JFK to Santo Domingo 4 times delay from the original our [HANDLE],,,
2143822,"[HANDLE] trying to get some help with a booking, can you ""assist""?",,,
1409918,[HANDLE] 👍,,,
1113983,"Improvement tip for [HANDLE] . When I miss my connection &amp; have to spend the night in ATL, I should be able to get my hotel voucher online.",,,
121181,[HANDLE] I lost my ID on my flight to NOLA for Thanksgiving...how do i get home? SOS,,,
2344661,[HANDLE] is there any problem with delta app on Android devices? I am not getting mobile boarding pass. This is 2nd time in row,,,
1096816,[HANDLE] hi. What is the policy re changing a ticket to an earlier date due to death of a parent?,,,
669384,[HANDLE] I need help with my baggage,,,
2047782,"[HANDLE] has no carryon except for their first class... They make everyone else check their bags. Not gate check, checked with luggage. Stupid",,,
1174913,[HANDLE] having trouble with advanced check in on Delta iPhone app. Can’t find an “acknowledge” button to tap on.,,,
826705,[HANDLE] how do I get the miles from a flight in March 2017?,,,
2418803,[HANDLE] Hello. One further question if I may. Our plane - Heathrow to JFK - departs at 1230 tomorrow. What time do we need to check in? Thanks.,,,
1129486,"[HANDLE] how do I remove your ""offline"" mode from the mobile App? #diamondstatus &amp; can't get anyone at Delta to answer me. Makes the App useless without wifi!",,,
185838,[HANDLE] If I wanted to fly from SLC to LAS today... What is the latest I could purchase a ticket at the airport?,,,
1651631,[HANDLE] yep. 4 hours of delays. 6-8 messages about flight changes,,,
2010729,"[HANDLE] want to compliment &amp; give kudos to Ginny and the team at baggage services tonight (DCA). Though bags not here, they were great CSrv",,,
1962103,[HANDLE] I have legal activated store bought Delta gift cards that I want to use in making a reservation but Delta tells me that I have to wait 72 hr,,,
2365233,First class experience for gold medallion member and family on DL1382 LIH-LAX has been anything but first class [HANDLE] #ridiculous,,,
1659398,[HANDLE] do you offer bereavement flight fares?,,,
2196711,[HANDLE] please push real time updates to the app. Flight is delayed but updates are not reflecting. We keep running to chase the flight. Also please include incoming flight tracker like United on the app. [URL],,,
1152875,"[HANDLE] upgraded to comfort+ so that I could have my bag with me, flight attendant moved it and sarcastically said welcome to delta...",,,
60427,[HANDLE] why do I have to write a letter and mail it to a PO box to request a refund to the Virgin Islands for a trip I can’t take #IRMA,,,
441949,[HANDLE] Do you transfer Platinum Medallion status and miles from [HANDLE] customers who are FED UP w/ them?,,,
181475,[HANDLE] Ok boarding started.,,,
1241642,[HANDLE] Why don't you let people know when you arbitrarily change their seat? Just checked my booking and saw it's been changed. Grrrr.,,,
128219,[HANDLE] VCE to AMS DL9685 was cancelled without notice. What's up?,,,
1034597,The [HANDLE] agent called for voluntary gate checks then acted like they did me a favor. They need to learn the phrase “thank you” and smile.,,,
1064029,[HANDLE] I need to reset my skymiles password but it doesn't have my correct address. How can I reset w\o waiting 2 hrs on phone?,,,
1176033,"[HANDLE] my connecting flight was cancelled for non-weather reasons, and I can’t get a hold of anyone to process a refund.",,,
